40 50
200
38 43
1 46
32 25
16 49
2 32
11 45
30 19
21 16
7 24
37 31
35 41
16 13
30 38
4 29
0 23
22 2
29 30
29 46
5 1
20 2
28 0
29 13
22 44
2 31
25 9
18 23
13 33
15 31
24 21
4 41
12 39
36 26
36 2
35 17
14 18
28 49
26 29
33 33
10 17
3 40
3 48
34 30
2 9
16 36
33 34
28 45
18 24
12 43
7 7
20 26
0 15
21 17
14 40
26 3
28 1
2 12
29 12
0 35
22 23
32 9
28 24
13 1
23 9
7 45
35 42
4 6
33 43
33 13
33 33
27 34
27 49
15 45
21 9
24 7
0 33
34 20
4 2
13 33
16 33
6 29
21 39
15 14
9 15
2 6
36 21
25 10
22 39
25 27
5 46
33 4
26 11
39 43
9 36
30 19
27 30
22 41
22 8
31 11
38 26
9 36
28 12
0 2
16 10
0 1
7 16
15 36
11 14
38 45
37 11
37 25
31 15
31 32
39 36
29 39
22 29
3 34
13 7
36 30
12 6
4 44
4 26
18 22
1 5
26 1
21 36
0 35
5 25
25 42
25 1
20 8
39 46
10 48
15 3
29 6
4 13
19 33
37 4
1 13
14 42
22 12
8 40
38 34
26 42
23 25
29 30
27 39
34 12
33 37
0 10
1 34
18 15
9 24
21 48
17 37
17 25
10 18
22 30
22 15
4 38
12 31
25 21
6 10
5 39
1 37
23 36
31 9
5 35
18 13
21 43
6 12
18 26
6 12
32 25
37 47
38 28
3 31
3 2
13 15
20 14
39 12
3 47
27 37
17 6
19 42
30 10
23 12
16 6
25 7
32 35
21 23
13 5
21 43
29 26
9 43
18 10
22 1
4 37
1 35
14 11
34 3
